agent;timestep;position;direction;status;given_command
1;0;None;s;waiting;move_forward
1;1;None;s;waiting;wait
1;2;None;s;waiting;wait
1;3;None;s;ready to depart;wait
1;4;None;s;ready to depart;wait
1;5;None;s;ready to depart;wait
1;6;None;s;ready to depart;wait
1;7;None;s;ready to depart;wait
0;8;None;e;waiting;move_forward
1;8;None;s;ready to depart;wait
0;9;None;e;waiting;move_forward
1;9;None;s;ready to depart;wait
0;10;None;e;waiting;move_forward
1;10;None;s;ready to depart;wait
0;11;None;e;ready to depart;move_forward
1;11;None;s;ready to depart;wait
0;12;(14, 12);e;moving;move_forward
1;12;None;s;ready to depart;wait
0;13;(14, 13);e;moving;move_forward
1;13;None;s;ready to depart;move_forward
0;14;(15, 13);s;moving;move_forward
1;14;(23, 23);s;moving;move_forward
0;15;(15, 14);e;moving;move_right
1;15;(24, 23);s;moving;wait
0;16;(16, 14);s;moving;wait
1;16;(24, 23);s;stopped;wait
0;17;(16, 14);s;stopped;wait
1;17;(24, 23);s;stopped;move_forward
0;18;(16, 14);s;stopped;move_forward
1;18;(24, 24);e;moving;move_left
0;19;(16, 15);e;moving;move_forward
1;19;(25, 24);s;moving;wait
0;20;(15, 15);n;moving;wait
1;20;(25, 24);s;stopped;wait
0;21;(15, 15);n;stopped;wait
1;21;(25, 24);s;stopped;move_forward
0;22;(15, 15);n;stopped;wait
1;22;(26, 24);s;moving;move_right
0;23;(15, 15);n;stopped;wait
1;23;(27, 24);s;moving;move_forward
0;24;(15, 15);n;stopped;wait
1;24;(28, 24);s;moving;wait
0;25;(15, 15);n;stopped;wait
1;25;(28, 24);s;stopped;wait
0;26;(15, 15);n;stopped;wait
1;26;(28, 24);s;stopped;move_forward
0;27;(15, 15);n;stopped;move_forward
1;27;(28, 23);w;moving;wait
0;28;(15, 16);e;moving;move_forward
1;28;(28, 23);w;stopped;wait
0;29;(15, 17);e;moving;wait
1;29;(28, 23);w;stopped;wait
0;30;(15, 17);e;stopped;wait
1;30;(28, 23);w;stopped;wait
0;31;(15, 17);e;stopped;wait
1;31;(28, 23);w;stopped;wait
0;32;(15, 17);e;stopped;move_forward
1;32;(28, 23);w;stopped;wait
0;33;(15, 18);e;moving;wait
1;33;(28, 23);w;stopped;wait
0;34;(15, 18);e;stopped;wait
1;34;(28, 23);w;stopped;wait
0;35;(15, 18);e;stopped;wait
1;35;(28, 23);w;stopped;wait
0;36;(15, 18);e;stopped;move_forward
1;36;(28, 23);w;stopped;wait
0;37;(15, 19);e;moving;move_left
1;37;(28, 23);w;stopped;wait
0;38;(16, 19);s;moving;move_forward
1;38;(28, 23);w;stopped;wait
0;39;(16, 20);e;moving;move_forward
1;39;(28, 23);w;stopped;wait
0;40;(17, 20);s;moving;wait
1;40;(28, 23);w;stopped;wait
0;41;(17, 20);s;stopped;wait
1;41;(28, 23);w;stopped;move_forward
0;42;(17, 20);s;stopped;wait
1;42;(28, 22);w;moving;wait
0;43;(17, 20);s;stopped;move_forward
1;43;(28, 22);w;stopped;wait
0;44;(18, 20);s;moving;move_forward
1;44;(28, 22);w;stopped;move_forward
0;45;(18, 21);e;moving;move_forward
1;45;(28, 21);w;moving;wait
0;46;(18, 22);e;moving;move_forward
1;46;(28, 21);w;stopped;wait
0;47;(18, 23);e;moving;move_forward
1;47;(28, 21);w;stopped;wait
0;48;(18, 24);e;moving;wait
1;48;(28, 21);w;stopped;wait
0;49;(18, 24);e;stopped;move_forward
1;49;(28, 21);w;stopped;wait
0;50;(19, 24);s;moving;wait
1;50;(28, 21);w;stopped;wait
0;51;(19, 24);s;stopped;wait
1;51;(28, 21);w;stopped;wait
0;52;(19, 24);s;stopped;move_forward
1;52;(28, 21);w;stopped;wait
0;53;(20, 24);s;moving;move_forward
1;53;(28, 21);w;stopped;move_forward
