agent;timestep;position;direction;status;given_command
1;107;(0, 10);e;moving;move_right
2;107;None;s;waiting;wait
0;108;(10, 9);w;moving;move_forward
1;108;(1, 10);s;moving;move_forward
2;108;None;s;waiting;wait
0;109;(10, 9);w;moving;move_forward
1;109;(1, 10);s;moving;move_forward
2;109;None;s;waiting;wait
0;110;(10, 9);w;moving;move_forward
1;110;(1, 10);s;moving;move_forward
2;110;None;s;waiting;wait
0;111;(10, 8);w;moving;move_forward
1;111;(1, 11);e;moving;move_forward
2;111;None;s;waiting;wait
0;112;(10, 8);w;moving;move_forward
1;112;(1, 11);e;moving;move_forward
2;112;None;s;waiting;wait
0;113;(10, 8);w;moving;move_forward
1;113;(1, 11);e;moving;move_forward
2;113;None;s;waiting;wait
0;114;(10, 8);w;moving;move_forward
1;114;(1, 12);e;moving;move_forward
2;114;None;s;waiting;wait
0;115;(10, 7);w;moving;move_forward
1;115;(1, 12);e;moving;move_forward
2;115;None;s;waiting;wait
0;116;(10, 7);w;moving;move_forward
1;116;(1, 12);e;moving;move_forward
2;116;None;s;waiting;wait
0;117;(10, 7);w;moving;move_forward
1;117;(2, 12);s;moving;move_forward
2;117;None;s;waiting;wait
0;118;(10, 7);w;moving;move_forward
1;118;(2, 12);s;moving;move_forward
2;118;None;s;waiting;wait
0;119;(10, 6);w;moving;move_forward
1;119;(2, 12);s;moving;move_forward
2;119;None;s;waiting;wait
0;120;(10, 6);w;moving;move_forward
1;120;(2, 13);e;moving;move_forward
2;120;None;s;waiting;wait
0;121;(10, 6);w;moving;move_forward
1;121;(2, 13);e;moving;move_forward
2;121;None;s;waiting;wait
0;122;(10, 6);w;moving;move_forward
1;122;(2, 13);e;moving;move_forward
2;122;None;s;waiting;wait
0;123;(11, 6);s;moving;move_forward
1;123;(2, 14);e;moving;move_forward
2;123;None;s;waiting;wait
0;124;(11, 6);s;moving;move_forward
1;124;(2, 14);e;moving;move_forward
2;124;None;s;waiting;wait
0;125;(11, 6);s;moving;move_forward
1;125;(2, 14);e;moving;move_forward
2;125;None;s;waiting;wait
0;126;(11, 6);s;moving;move_forward
1;126;(2, 15);e;moving;move_forward
2;126;None;s;waiting;wait
0;127;(12, 6);s;moving;move_forward
1;127;(2, 15);e;moving;move_forward
2;127;None;s;waiting;wait
0;128;(12, 6);s;moving;move_forward
1;128;(2, 15);e;moving;move_forward
2;128;None;s;waiting;wait
0;129;(12, 6);s;moving;move_forward
1;129;(2, 16);e;moving;move_forward
2;129;None;s;waiting;wait
0;130;(12, 6);s;moving;move_forward
1;130;(2, 16);e;moving;move_forward
2;130;None;s;waiting;wait
0;131;(13, 6);s;moving;move_left
1;131;(2, 16);e;moving;move_forward
2;131;None;s;waiting;wait
0;132;(13, 6);s;moving;move_left
1;132;(2, 17);e;moving;move_forward
2;132;None;s;waiting;wait
0;133;(13, 6);s;moving;move_left
1;133;(2, 17);e;moving;move_forward
2;133;None;s;waiting;wait
0;134;(13, 6);s;moving;move_left
1;134;(2, 17);e;moving;move_forward
2;134;None;s;waiting;wait
0;135;(13, 7);e;moving;move_forward
1;135;(2, 18);e;moving;move_forward
2;135;None;s;waiting;wait
0;136;(13, 7);e;moving;move_forward
1;136;(2, 18);e;moving;move_forward
2;136;None;s;waiting;wait
0;137;(13, 7);e;moving;move_forward
1;137;(2, 18);e;moving;move_forward
2;137;None;s;ready to depart;move_forward
0;138;(13, 7);e;moving;move_forward
1;138;(2, 19);e;moving;move_forward
2;138;(10, 23);s;moving;move_forward
0;139;(14, 7);s;moving;move_forward
1;139;(2, 19);e;moving;move_forward
2;139;(10, 23);s;moving;move_forward
0;140;(14, 7);s;moving;move_forward
1;140;(2, 19);e;moving;move_forward
2;140;(11, 23);s;moving;move_forward
0;141;(14, 7);s;moving;move_forward
1;141;(2, 20);e;moving;move_forward
2;141;(11, 23);s;moving;move_forward
0;142;(14, 7);s;moving;move_forward
1;142;(2, 20);e;moving;move_forward
2;142;(12, 23);s;moving;move_forward
0;143;(15, 7);s;moving;move_left
1;143;(2, 20);e;moving;move_forward
2;143;(12, 23);s;moving;move_forward
0;144;(15, 7);s;moving;move_left
1;144;(2, 21);e;moving;move_forward
2;144;(13, 23);s;moving;move_right
0;145;(15, 7);s;moving;move_left
1;145;(2, 21);e;moving;move_forward
2;145;(13, 23);s;moving;move_right
0;146;(15, 7);s;moving;move_left
1;146;(2, 21);e;moving;move_forward
2;146;(13, 22);w;moving;move_forward
0;147;(15, 8);e;moving;move_forward
1;147;(2, 22);e;moving;move_forward
2;147;(13, 22);w;moving;move_forward
0;148;(15, 8);e;moving;move_forward
1;148;(2, 22);e;moving;move_forward
2;148;(14, 22);s;moving;move_forward
0;149;(15, 8);e;moving;move_forward
1;149;(2, 22);e;moving;move_forward
2;149;(14, 22);s;moving;move_forward
0;150;(15, 8);e;moving;move_forward
1;150;(3, 22);s;moving;move_forward
2;150;(15, 22);s;moving;move_right
1;151;(3, 22);s;moving;move_forward
2;151;(15, 22);s;moving;move_right
1;152;(3, 22);s;moving;move_forward
2;152;(15, 21);w;moving;move_forward
1;153;(4, 22);s;moving;move_forward
2;153;(15, 21);w;moving;move_forward
1;154;(4, 22);s;moving;move_forward
2;154;(15, 20);w;moving;move_forward
1;155;(4, 22);s;moving;move_forward
2;155;(15, 20);w;moving;move_forward
1;156;(5, 22);s;moving;move_forward
2;156;(15, 19);w;moving;move_forward
1;157;(5, 22);s;moving;move_forward
2;157;(15, 19);w;moving;move_forward
1;158;(5, 22);s;moving;move_forward
2;158;(16, 19);s;moving;move_forward
1;159;(6, 22);s;moving;move_forward
2;159;(16, 19);s;moving;move_forward
1;160;(6, 22);s;moving;move_forward
2;160;(17, 19);s;moving;move_forward
1;161;(6, 22);s;moving;move_forward
2;161;(17, 19);s;moving;move_forward
1;162;(7, 22);s;moving;move_left
2;162;(18, 19);s;moving;move_forward
1;163;(7, 22);s;moving;move_left
2;163;(18, 19);s;moving;move_forward
1;164;(7, 22);s;moving;move_left
2;164;(19, 19);s;moving;move_forward
1;165;(7, 23);e;moving;move_forward
2;165;(19, 19);s;moving;move_forward
1;166;(7, 23);e;moving;move_forward
2;166;(20, 19);s;moving;move_forward
1;167;(7, 23);e;moving;move_forward
2;167;(20, 19);s;moving;move_forward
1;168;(8, 23);s;moving;move_forward
2;168;(21, 19);s;moving;move_left
1;169;(8, 23);s;moving;move_forward
2;169;(21, 19);s;moving;move_left
1;170;(8, 23);s;moving;move_forward
2;170;(21, 20);e;moving;move_forward
1;171;(9, 23);s;moving;move_left
2;171;(21, 20);e;moving;move_forward
1;172;(9, 23);s;moving;move_left
1;173;(9, 23);s;moving;move_left
1;174;(9, 24);e;moving;move_forward
1;175;(9, 24);e;moving;move_forward
1;176;(9, 24);e;moving;move_forward
